date,open,high,low,close,volume,dayOfweek,open_24,close_24
10/06/2015 08:00,122.706,122.975,122.611,122.656,10286,Wednesday,123.533,123.572
10/06/2015 09:00,122.653,122.869,122.646,122.78,6951,Wednesday,123.571,123.623
10/06/2015 10:00,122.782,123.344,122.699,123.176,9267,Wednesday,123.625,123.644
10/06/2015 11:00,123.179,123.264,122.907,122.95,8373,Wednesday,123.643,123.748
10/06/2015 12:00,122.951,123,122.638,122.709,9424,Wednesday,123.748,123.5
10/06/2015 13:00,122.708,122.933,122.645,122.664,9520,Wednesday,123.498,123.678
10/06/2015 14:00,122.663,122.843,122.542,122.631,9613,Wednesday,123.679,123.675
10/06/2015 15:00,122.637,122.817,122.592,122.718,8854,Wednesday,123.673,123.628
10/06/2015 16:00,122.718,122.861,122.713,122.769,5290,Wednesday,123.63,123.637
10/06/2015 17:00,122.768,122.771,122.602,122.666,3573,Wednesday,123.637,123.607
10/06/2015 18:00,122.665,122.712,122.577,122.682,3223,Wednesday,123.606,123.408
10/06/2015 19:00,122.684,122.773,122.612,122.615,2917,Wednesday,123.408,123.407
10/06/2015 20:00,122.617,122.717,122.605,122.664,3078,Wednesday,123.407,123.407
10/06/2015 21:00,122.658,122.779,122.616,122.749,2905,Wednesday,123.409,123.493
10/06/2015 22:00,122.749,122.801,122.709,122.779,2273,Wednesday,123.493,123.541
10/06/2015 23:00,122.779,122.912,122.779,122.882,2304,Wednesday,123.541,123.598
11/06/2015 00:00,122.883,123.066,122.883,123.024,5567,Thursday,123.599,123.466
11/06/2015 01:00,123.025,123.162,122.858,123.146,6569,Thursday,123.467,123.536
11/06/2015 02:00,123.147,123.192,122.942,123.055,5068,Thursday,123.538,123.473
11/06/2015 03:00,123.054,123.13,122.993,123.097,2882,Thursday,123.472,123.501
11/06/2015 04:00,123.095,123.252,122.95,123.222,3667,Thursday,123.499,123.445
11/06/2015 05:00,123.221,123.287,123.14,123.187,5541,Thursday,123.445,123.431
11/06/2015 06:00,123.188,123.338,123.143,123.225,6872,Thursday,123.434,123.55
11/06/2015 07:00,123.226,123.575,123.2,123.534,9488,Thursday,123.55,123.718
11/06/2015 08:00,123.533,123.653,123.414,123.572,8456,Thursday,123.721,123.734
11/06/2015 09:00,123.571,123.806,123.57,123.623,7837,Thursday,123.734,123.7
11/06/2015 10:00,123.625,123.691,123.567,123.644,5380,Thursday,123.7,123.781
11/06/2015 11:00,123.643,123.761,123.592,123.748,5994,Thursday,123.781,123.592
11/06/2015 12:00,123.748,124.133,123.262,123.5,14035,Thursday,123.592,123.704
11/06/2015 13:00,123.498,123.74,123.475,123.678,10744,Thursday,123.704,123.505
11/06/2015 14:00,123.679,123.707,123.523,123.675,9467,Thursday,123.508,123.278
